Date/Time,Lat,Lon,Base,zipcode
7/26/14 11:49,40.7578,-73.9895,B02682,10036
7/20/14 20:13,40.7558,-73.9832,B02617,10036
8/25/14 09:24,40.7391,-73.9826,B02682,10010
7/24/14 19:38,40.732,-73.9964,B02617,10003
8/23/14 01:24,40.6813,-73.9772,B02682,11217
8/26/14 20:21,40.7512,-73.9754,B02617,10017
9/5/14 17:30,40.7643,-73.996,B02617,10036
8/9/14 06:10,40.7399,-73.9987,B02598,10011
9/12/14 01:45,40.6913,-73.9844,B02764,11201
7/8/14 20:57,40.7573,-73.8443,B02617,11368
8/3/14 23:36,40.6447,-73.7821,B02598,11430
7/9/14 13:25,40.6464,-73.7769,B02598,11430
7/30/14 17:18,40.7153,-74.0141,B02598,10282
7/28/14 04:51,40.7678,-73.958,B02617,10021
7/18/14 10:12,40.7484,-73.9708,B02617,10017
7/9/14 08:07,40.7842,-73.9707,B02682,10024
9/30/14 07:10,40.8236,-73.9375,B02617,10039
8/29/14 22:30,40.713,-73.9664,B02598,11249
9/22/14 06:15,40.6461,-73.7768,B02617,11430
8/26/14 21:56,40.7261,-73.9961,B02617,10012
9/1/14 18:58,40.7159,-73.9402,B02598,11211
8/28/14 11:15,40.7136,-73.8298,B02598,11415
7/2/14 06:40,40.7723,-73.9502,B02598,10075
9/15/14 10:35,40.7292,-73.9776,B02764,10009
7/26/14 14:19,40.7259,-74.0013,B02617,10012
9/29/14 17:53,40.7652,-73.9679,B02682,10065
8/2/14 19:51,40.7512,-73.9938,B02617,10001
9/23/14 20:53,40.7205,-74.0021,B02682,10013
9/17/14 12:40,40.7617,-73.9796,B02512,10019
7/31/14 07:15,40.7201,-73.9882,B02598,10002
8/16/14 19:53,40.7486,-73.9923,B02617,10001
7/9/14 20:07,40.751,-73.9826,B02598,10016
9/23/14 14:37,40.7159,-74.0046,B02598,10007
9/6/14 09:24,40.7838,-73.422,B02617,11747
8/20/14 09:36,40.7222,-73.984,B02682,10009
7/13/14 05:08,40.7651,-73.9816,B02682,10019
9/9/14 15:51,40.751,-73.9942,B02617,10001
9/13/14 22:10,40.7215,-73.9887,B02617,10002
9/28/14 17:48,40.7399,-73.9881,B02764,10010
9/25/14 13:37,40.7447,-73.9808,B02764,10016
9/6/14 23:11,40.7236,-74.0108,B02598,10013
9/4/14 21:36,40.7487,-73.9424,B02598,11101
7/4/14 13:18,40.6861,-74.0012,B02598,11231
8/12/14 16:40,40.7368,-73.9925,B02598,10003
7/30/14 21:23,40.7587,-73.9687,B02598,10022
7/10/14 07:06,40.741,-74.0078,B02598,10014
9/24/14 15:30,40.7267,-73.9587,B02617,11222
7/12/14 07:20,40.7486,-73.8841,B02598,11372
9/23/14 06:13,40.7837,-73.9796,B02598,10024
9/6/14 23:15,40.7501,-73.9862,B02617,10001
8/2/14 14:00,40.7311,-73.9952,B02617,10003
9/4/14 12:58,40.7157,-74.0167,B02598,10282
8/28/14 22:41,40.7739,-73.8714,B02598,11371
7/9/14 11:20,40.7343,-73.9884,B02598,10003
8/22/14 17:56,40.7202,-73.9951,B02598,10012
7/21/14 03:12,40.7252,-73.9547,B02682,11222
8/30/14 10:59,40.7615,-73.9996,B02598,10036
9/18/14 07:17,40.7199,-73.979,B02682,10002
7/27/14 09:43,40.7193,-74.0052,B02617,10013
7/26/14 20:37,40.6601,-73.9814,B02617,11215
7/16/14 19:12,40.7116,-74.016,B02598,10281
8/7/14 07:40,40.721,-74.0042,B02617,10013
8/16/14 08:21,40.7322,-73.9866,B02617,10003
8/30/14 22:04,40.7402,-74.0057,B02617,10014
7/10/14 13:33,40.7548,-74.0001,B02682,10001
7/10/14 13:58,40.7609,-73.9773,B02598,10019
9/22/14 08:23,40.8076,-73.9666,B02598,10025
7/23/14 19:51,40.741,-73.952,B02682,11101
8/18/14 18:37,40.7662,-73.8864,B02598,11370
7/5/14 04:34,40.6459,-73.7767,B02617,11430
8/14/14 17:45,40.7463,-73.9951,B02598,10001
7/8/14 13:15,40.7678,-73.9565,B02598,10021
9/25/14 10:06,40.7351,-73.9879,B02764,10003
7/20/14 02:55,40.7561,-73.9895,B02617,10018
7/22/14 19:06,40.8207,-73.9409,B02617,10030
7/20/14 17:05,40.7388,-73.9887,B02617,10003
8/28/14 20:23,40.7563,-73.9874,B02617,10036
8/30/14 09:45,40.7461,-73.9062,B02598,11377
9/27/14 19:49,40.7193,-73.9972,B02764,10013
9/15/14 22:04,40.7596,-73.9742,B02617,10022
7/29/14 06:36,40.7254,-73.9892,B02598,10003
7/30/14 07:21,40.7718,-73.9893,B02682,10023
7/20/14 15:52,40.712,-73.9631,B02617,11249
7/20/14 23:25,40.7184,-73.9945,B02512,10002
9/1/14 15:52,40.6456,-73.7767,B02617,11430
8/20/14 10:11,40.7278,-73.7897,B02764,11366
7/22/14 19:58,40.6136,-73.963,B02682,11230
8/3/14 13:20,40.7161,-73.9549,B02598,11211
8/26/14 15:29,40.6915,-74.1772,B02598,7114
9/27/14 18:25,40.7753,-73.9565,B02682,10028
7/22/14 21:10,40.6656,-73.9911,B02598,11215
8/21/14 17:33,40.7414,-73.9918,B02617,10010
7/21/14 19:09,40.8132,-73.9517,B02598,10027
8/28/14 14:06,40.7422,-74.0047,B02598,10011
8/11/14 10:07,40.7674,-73.9547,B02617,10021
9/30/14 12:29,40.7061,-73.9222,B02764,11237
7/9/14 11:18,40.6868,-73.9696,B02617,11238
7/18/14 10:20,40.7565,-73.9665,B02598,10022
8/1/14 00:57,40.7684,-73.9862,B02617,10019
8/12/14 14:22,40.7526,-73.9798,B02682,10017
9/5/14 11:26,40.7272,-74.0062,B02682,10014
8/2/14 17:40,40.7676,-73.9386,B02617,11106
7/1/14 02:22,40.7235,-74.0105,B02682,10013
8/19/14 22:30,40.6924,-73.9791,B02764,11201
9/5/14 16:46,40.7156,-74.0097,B02598,10007
7/10/14 22:12,40.7315,-73.9579,B02682,11222
9/4/14 16:07,40.7611,-73.9811,B02598,10019
9/5/14 23:55,40.7284,-73.9998,B02598,10012
8/1/14 22:45,40.7279,-73.9911,B02598,10003
7/11/14 17:38,40.7227,-73.9862,B02617,10009
9/23/14 19:31,40.6857,-73.9912,B02682,11201
9/29/14 16:21,40.5723,-73.8619,B02682,11694
7/29/14 06:56,40.7091,-74.0083,B02617,10038
9/28/14 09:28,40.7209,-73.9409,B02598,11222
8/30/14 06:30,40.7253,-73.9463,B02764,11222
9/16/14 14:09,40.8163,-73.9459,B02617,10030
7/16/14 17:02,40.7578,-73.9743,B02598,10022
8/15/14 08:37,40.7229,-73.9973,B02682,10012
7/18/14 01:31,40.72,-74.01,B02598,10013
8/19/14 15:18,40.7076,-74.0099,B02682,10005
7/14/14 01:48,40.727,-73.98,B02598,10009
8/23/14 11:38,40.7271,-73.9797,B02764,10009
7/9/14 20:20,40.6464,-73.7898,B02598,11430
9/6/14 16:31,40.722,-73.9866,B02682,10002
9/11/14 17:15,40.7683,-73.8622,B02598,11371
9/26/14 07:45,40.723,-74.0049,B02617,10013
8/16/14 03:13,40.7675,-73.9826,B02617,10019
7/24/14 16:53,40.7526,-73.9777,B02682,10017
7/31/14 09:48,40.7659,-73.9612,B02682,10065
9/18/14 18:32,40.7708,-73.8657,B02617,11371
8/13/14 13:15,40.7231,-73.9447,B02598,11222
9/16/14 16:31,40.7809,-73.959,B02764,10028
9/17/14 09:59,40.7645,-73.9708,B02682,10065
8/7/14 19:11,40.7553,-73.9736,B02598,10017
7/16/14 19:01,40.7554,-73.9864,B02617,10036
9/23/14 07:07,40.7197,-73.9535,B02764,11211
9/4/14 14:31,40.7486,-73.9925,B02617,10001
9/8/14 07:31,40.6018,-74.0924,B02598,10304
8/22/14 04:04,40.7513,-73.9763,B02598,10168
7/22/14 10:49,40.6667,-73.9412,B02598,11213
8/28/14 03:29,40.7584,-73.9831,B02617,10036
9/19/14 16:29,40.6949,-74.1773,B02764,7114
7/23/14 16:37,40.7927,-73.9192,B02617,10035
7/9/14 23:20,40.7739,-73.8726,B02617,11371
8/31/14 22:05,40.7783,-73.902,B02617,11105
9/17/14 15:43,40.758,-73.8286,B02598,11355
7/4/14 10:00,40.7608,-73.999,B02598,10036
7/8/14 07:19,40.6854,-73.9761,B02598,11217
9/12/14 07:57,40.7313,-73.9747,B02617,10009
9/29/14 06:05,40.7716,-73.9206,B02617,11102
9/12/14 22:18,40.7737,-73.9457,B02764,10028
9/13/14 12:26,40.7441,-73.9859,B02617,10016
7/21/14 17:50,40.7103,-73.9847,B02598,10002
9/10/14 11:39,40.7649,-73.9639,B02512,10065
7/30/14 07:26,40.7752,-73.9592,B02598,10075
9/12/14 19:38,40.7079,-74.0136,B02682,10006
7/19/14 23:36,40.7321,-73.9999,B02617,10011
7/21/14 23:13,40.6784,-73.9034,B02598,
8/27/14 16:07,40.7251,-74.0042,B02598,10013
7/6/14 02:09,40.7259,-74.0027,B02598,10012
8/9/14 17:10,40.6688,-73.975,B02598,11215
8/8/14 00:26,40.7734,-73.9457,B02598,10028
7/3/14 02:06,40.7405,-74.0085,B02682,10014
9/9/14 15:30,40.7544,-73.988,B02764,10018
9/17/14 20:43,40.7768,-73.9859,B02617,10023
9/18/14 10:00,40.7741,-73.9514,B02598,10028
8/16/14 00:29,40.7882,-73.9673,B02682,10024
9/28/14 21:03,40.7685,-73.8872,B02598,11371
9/9/14 15:25,40.6785,-73.9485,B02617,11216
9/20/14 10:56,40.7135,-73.9573,B02617,11211
8/6/14 16:36,40.7535,-73.9743,B02682,10017
7/15/14 16:30,40.7342,-74.0062,B02617,10014
9/25/14 15:29,40.7452,-73.9904,B02617,10001
7/7/14 18:47,40.7343,-73.9835,B02617,10003
8/17/14 22:50,40.6464,-73.7901,B02682,11430
8/21/14 09:09,40.7719,-73.9494,B02682,10075
8/4/14 15:50,40.7547,-73.9809,B02598,10036
8/13/14 08:24,40.7124,-73.9444,B02598,11211
9/7/14 13:55,40.9528,-73.9345,B02512,7627
7/10/14 21:59,40.7239,-73.9929,B02598,10012
7/12/14 19:47,40.7382,-74.0044,B02512,10014
7/7/14 05:52,40.7236,-74.011,B02617,10013
7/24/14 18:58,40.7482,-73.9391,B02682,11101
9/1/14 15:13,40.7266,-73.9868,B02617,10003
7/10/14 10:38,40.7529,-73.9677,B02598,10017
9/17/14 16:02,40.7388,-73.9856,B02682,10010
7/23/14 09:01,40.7479,-73.9933,B02512,10001
9/23/14 13:37,40.7471,-73.9898,B02617,10001
9/27/14 16:52,40.7604,-74.0028,B02512,10018
8/16/14 16:27,40.7408,-73.9932,B02598,10011
9/4/14 06:01,40.7627,-73.989,B02598,10019
7/10/14 17:08,40.7636,-73.9597,B02682,10065
9/20/14 19:17,40.6458,-73.7767,B02764,11430
7/8/14 13:40,40.7425,-73.9918,B02512,10010
7/7/14 07:06,40.8539,-73.9711,B02598,7024
8/5/14 18:19,40.758,-73.9819,B02617,10036
9/25/14 19:59,40.7562,-73.9763,B02617,10017
8/20/14 08:20,40.7386,-73.9977,B02598,10011
8/4/14 15:54,40.7466,-73.9819,B02617,10016
8/17/14 16:21,40.6189,-74.0089,B02598,11228
8/20/14 07:29,40.7608,-73.9993,B02617,10036
8/27/14 20:43,40.7978,-74.4588,B02512,7960
7/14/14 09:53,40.747,-73.9903,B02682,10001
9/4/14 12:27,40.7529,-73.9744,B02617,10017
7/8/14 13:33,40.7709,-73.9537,B02682,10075
8/29/14 16:29,40.752,-74.0047,B02617,10001
7/2/14 16:53,40.7545,-73.9772,B02598,10017
9/22/14 17:51,40.7347,-73.9987,B02764,10011
7/7/14 21:24,40.7268,-73.9958,B02682,10012
8/29/14 06:28,40.7779,-73.9795,B02682,10023
8/11/14 22:07,40.7234,-74.0028,B02512,10013
9/27/14 17:52,40.6077,-74.0021,B02598,11214
8/4/14 08:13,40.7306,-73.9953,B02617,10003
9/21/14 00:10,40.7361,-73.996,B02682,10011
8/22/14 20:39,40.7266,-73.9846,B02617,10009
7/28/14 20:56,40.6422,-73.789,B02598,11430
9/3/14 20:08,40.745,-73.9928,B02617,10001
9/30/14 17:52,40.7507,-73.9786,B02682,10016
8/8/14 12:25,40.7722,-73.9662,B02598,10021
7/22/14 21:47,40.7186,-74.0007,B02617,10013
8/27/14 12:30,40.7375,-73.9533,B02682,11222
7/22/14 14:52,40.746,-73.9943,B02598,10001
9/14/14 21:23,40.7414,-73.9897,B02682,10010
7/31/14 05:23,40.7319,-74.0027,B02682,10014
7/22/14 16:29,40.7276,-74.0034,B02617,10014
8/12/14 06:11,40.7206,-73.9562,B02617,11249
9/10/14 17:21,40.7462,-73.9842,B02764,10016
7/9/14 19:44,40.7434,-73.9882,B02598,10010
8/11/14 17:02,40.6697,-73.958,B02598,11225
8/8/14 18:03,40.739,-73.993,B02598,10011
7/23/14 08:02,40.672,-73.9591,B02598,11238
7/23/14 23:02,40.7743,-73.8725,B02617,11371
8/21/14 12:38,40.7536,-73.9678,B02764,10017
8/31/14 19:43,40.6459,-73.7768,B02617,11430
7/27/14 23:41,40.8027,-73.9364,B02598,10035
